Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update_ Real
Brave Fencer Musashi,PS_b,Square,SquareSoft,8.4,1.14m,0.25m,0.17m,0.65m,0.07m,31st Oct 98,31st Oct 98
Hot Shots Golf: Out of Bounds,PS3_b,Sony Computer Entertainment,Clap Hanz,8.3,1.14m,0.31m,0.03m,0.76m,0.04m,18th Mar 08,18th Mar 08
Mirror's Edge,PS3_b,Electronic Arts,EA Digital Illusions CE,7.7,1.13m,0.31m,0.59m,0.02m,0.21m,11th Nov 08,25th Mar 19
Rocksmith,X360_b,Ubisoft,Ubisoft,8,1.13m,0.85m,0.19m,0.01m,0.08m,18th Oct 11,18th Oct 11
Plants vs Zombies: Garden Warfare,X360_b,Electronic Arts,PopCap Games,8,1.13m,0.54m,0.50m,0.00m,0.09m,25th Feb 14,05th Feb 18
Rocksmith,PS3_b,Ubisoft,Ubisoft,8,1.13m,0.53m,0.38m,0.09m,0.13m,18th Oct 11,18th Oct 11
ModNation Racers,PS3_b,Sony Computer Entertainment,United Front Games,8.1,1.13m,0.50m,0.40m,0.06m,0.16m,25th May 10,25th May 10
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP_b,Sony Computer Entertainment,Zipper Interactive,7.9,1.12m,1.03m,0.00m,0.01m,0.08m,08th Nov 05,08th Nov 05
Dragon Age II,X360_b,Electronic Arts,BioWare Corp.,8,1.12m,0.72m,0.29m,0.01m,0.09m,08th Mar 11,08th Mar 11
Crackdown 2,X360_b,Microsoft Game Studios,Ruffian Games,7.5,1.12m,0.63m,0.36m,0.02m,0.10m,06th Jul 10,06th Jul 10
Crash Bandicoot N. Sane Trilogy,NS_b,Activision,Toys for Bob,6,1.11m,0.44m,0.57m,0.02m,0.09m,29th Jun 18,07th Nov 18
