Game,Console,Publisher,Developer,Critic_Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Last_Update__Real,Release_Date
Sonic_Unleashed,PS3_b,Sega,Sonic_Team,5.3,1030000,560000,320000,10000,140000,0,10564
Elebits:_The_Adventures_of_Kai_and_Zero,DS_b,Konami,Konami,7.5,80000,70000,0,0,10000,0,10591
Star_Ocean:_Second_Evolution,PSP_b,Square_Enix,TOSE_Software,8,340000,140000,20000,160000,20000,0,10605
Ar_tonelico_2:_Melody_of_Metafalica,PS2_b,NIS_America,Gust,7.2,180000,40000,30000,110000,10000,0,10605
Skate_2,X360_b,Electronic_Arts,EA_Black_Box,8.2,1090000,820000,170000,10000,90000,0,10606
Skate_2,PS3_b,Electronic_Arts,EA_Black_Box,8.2,840000,460000,250000,10000,120000,0,10606
Tenchu:_Shadow_Assassins,Wii_b,Ubisoft,Acquire,7,210000,150000,10000,30000,10000,0,10621
The_House_of_the_Dead:_Overkill,Wii_b,Sega,Headstrong_Games,7.9,850000,440000,300000,20000,90000,0,10626
F.E.A.R._2:_Project_Origin,X360_b,Warner_Bros._Interactive,Monolith_Productions,7.9,520000,320000,150000,0,50000,0,10626
F.E.A.R._2:_Project_Origin,PS3_b,Warner_Bros._Interactive,Monolith_Productions,8.2,470000,190000,200000,10000,80000,0,10626
LocoRoco_2,PSP_b,Sony_Computer_Entertainment,SCE_Japan_Studio,8.5,360000,210000,90000,10000,50000,3505,10626
