Game,Console,Publisher,Developer,Critic_Score,Total_Sales,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,Release_Date,Last_Update_Real
Assassin's_Creed_Syndicate,PS4_b,Ubisoft,Ubisoft_Quebec,8.6,3.60m,0.90m,2.06m,0.08m,0.55m,23rd_Oct_15,04th_May_18
Star_Wars_Battlefront_II,PS2_b,LucasArts,Pandemic_Studios,8.5,3.59m,2.18m,1.02m,0.03m,0.37m,01st_Nov_05,01st_Nov_05
Cooking_Mama_2:_Dinner_With_Friends,DS_b,Majesco,Office_Create,6.9,3.58m,1.60m,1.49m,0.10m,0.39m,13th_Nov_07,13th_Nov_07
Battlefield_4,X360_b,Electronic_Arts,EA_DICE,8.7,3.54m,2.16m,1.05m,0.02m,0.32m,29th_Oct_13,04th_Jan_18
Grand_Theft_Auto:_Liberty_City_Stories,PS2_b,Rockstar_Games,Rockstar_Leeds,8.3,3.54m,1.56m,1.40m,0.07m,0.50m,06th_Jun_06,06th_Jun_06
The_Getaway,PS2_b,Sony_Computer_Entertainment,Team_Soho,7.7,3.54m,1.23m,1.77m,0.05m,0.49m,19th_Jan_03,19th_Jan_03
Tomb_Raider_III:_Adventures_of_Lara_Croft,PS_b,Eidos_Interactive,Core_Design_Ltd.,8.2,3.54m,1.66m,1.58m,0.12m,0.18m,21st_Nov_98,21st_Nov_98
Batman:_Arkham_Asylum,X360_b,Eidos_Interactive,Rocksteady_Studios,9.1,3.54m,2.24m,0.95m,0.02m,0.33m,25th_Aug_09,25th_Aug_09
Assassin's_Creed:_Brotherhood,X360_b,Ubisoft,Ubisoft_Montreal,9.1,3.53m,2.87m,0.39m,0.03m,0.25m,16th_Nov_10,16th_Nov_10
LEGO_Star_Wars:_The_Video_Game,PS2_b,Eidos_Interactive,Traveller's_Tales,7.9,3.53m,1.98m,1.14m,0.01m,0.41m,02nd_Apr_05,02nd_Apr_05
Resident_Evil_5,X360_b,Capcom,Capcom,8.6,3.53m,2.13m,0.93m,0.12m,0.34m,13th_Mar_09,13th_Mar_09
